id,name,type,latitude,longitude,capacity,operating_hours,features
64e1e4ba-6502-4c0c-bb91-f3527222861f,구미산단 한솥도시락 본점,cafeteria,36.1198,128.3471,80,"{""weekday"": ""11:00-20:00"", ""weekend"": ""11:00-14:00""}","{""has_vegetarian"": false, ""average_price"": 7500, ""cuisine_tags"": [""한식"", ""도시락""], ""address"": ""경상북도 구미시 공단동"", ""signature_menu"": ""치킨마요덮밥 송정식떡갈비도시락 제육덮밥 돈까스도시락 새치고기마요 매콤제육"", ""address_source"": ""inferred"", ""menu_source"": ""web""}"
16f9231c-d910-41b4-a8f7-862fb05d247d,공단 김밥천국,cafeteria,36.1185,128.3489,60,"{""weekday"": ""11:00-20:00"", ""weekend"": ""11:00-14:00""}","{""has_vegetarian"": false, ""average_price"": 7500, ""cuisine_tags"": [""분식"", ""한식""], ""address"": ""경상북도 구미시 공단동"", ""signature_menu"": ""김밥 라볶이 떡볶이 돈까스 김치볶음밥 라면 제육덮밥 쫄면"", ""address_source"": ""inferred"", ""menu_source"": ""web""}"
e0b30d6a-828b-4be7-9cf4-a64148af1258,산단로 백반집,cafeteria,36.1213,128.3445,50,"{""weekday"": ""11:00-20:00"", ""weekend"": ""11:00-14:00""}","{""has_vegetarian"": false, ""average_price"": 7500, ""cuisine_tags"": [""한식"", ""백반""], ""address"": ""경상북도 구미시 송정동"", ""signature_menu"": ""백반정식 제육볶음 된장찌개 김치찌개 고등어구이 청국장 불고기백반"", ""address_source"": ""inferred"", ""menu_source"": ""inferred""}"
1768a07f-a10a-4d7b-8d29-bf1151f22b5f,LG디스플레이 1식당,cafeteria,36.1247,128.3623,400,"{""weekday"": ""11:00-20:00"", ""weekend"": ""11:00-14:00""}","{""has_vegetarian"": false, ""average_price"": 7500, ""cuisine_tags"": [""구내식당"", ""한식""], ""address"": ""경상북도 구미시 진미동"", ""signature_menu"": ""한식백반정식 제육볶음 김치찌개 비빔밥 돈까스 국수 샐러드바"", ""address_source"": ""inferred"", ""menu_source"": ""inferred""}"
f4f0630f-0e3c-4e7a-838a-51f8fb82dc40,삼성전자 구미 직원식당,cafeteria,36.1156,128.3534,600,"{""weekday"": ""11:00-20:00"", ""weekend"": ""11:00-14:00""}","{""has_vegetarian"": false, ""average_price"": 7500, ""cuisine_tags"": [""구내식당"", ""한중일""], ""address"": ""경상북도 구미시 1공단로 244"", ""signature_menu"": ""한식정식 제육덮밥 짜장면 우동 라멘 돈까스 비빔밥 일품요리"", ""address_source"": ""web"", ""menu_source"": ""inferred""}"
1aee1c98-5d8f-4ad4-9237-7d3898b51bf4,공단 칼국수마을,cafeteria,36.1192,128.3512,70,"{""weekday"": ""11:00-20:00"", ""weekend"": ""11:00-14:00""}","{""has_vegetarian"": false, ""average_price"": 7500, ""cuisine_tags"": [""한식"", ""면류""], ""address"": ""경상북도 구미시 송정동"", ""signature_menu"": ""손칼국수 바지락칼국수 비빔국수 잔치국수 수제비 콩국수 보리밥"", ""address_source"": ""inferred"", ""menu_source"": ""inferred""}"
09b92b1b-fc81-4a17-9112-a038fcef1ed8,SK실트론 구내식당,cafeteria,36.1421,128.3789,350,"{""weekday"": ""11:00-20:00"", ""weekend"": ""11:00-14:00""}","{""has_vegetarian"": false, ""average_price"": 7500, ""cuisine_tags"": [""구내식당""], ""address"": ""경상북도 구미시 임수로 53"", ""signature_menu"": ""백반정식 한식뷔페 국밥 찌개류 분식코너 샐러드바"", ""address_source"": ""web"", ""menu_source"": ""inferred""}"
974f6847-1bdd-4d92-9003-0b4c84e26881,산동읍 기사식당,cafeteria,36.0876,128.4234,90,"{""weekday"": ""11:00-20:00"", ""weekend"": ""11:00-14:00""}","{""has_vegetarian"": false, ""average_price"": 7500, ""cuisine_tags"": [""한식"", ""백반""], ""address"": ""경상북도 구미시 산동읍"", ""signature_menu"": ""백반정식 제육볶음 갈치조림 고등어구이 김치찌개 된장찌개"", ""address_source"": ""inferred"", ""menu_source"": ""inferred""}"
62e0b70b-eec7-4308-884c-ae8d5750e3ff,하이테크밸리 푸드코트,cafeteria,36.0823,128.4521,200,"{""weekday"": ""11:00-20:00"", ""weekend"": ""11:00-14:00""}","{""has_vegetarian"": false, ""average_price"": 7500, ""cuisine_tags"": [""한식"", ""양식"", ""분식""], ""address"": ""경상북도 구미시 산동읍"", ""signature_menu"": ""제육덮밥 김치찌개 돈까스 라면 떡볶이 비빔밥"", ""address_source"": ""inferred"", ""menu_source"": ""inferred""}"
e5efe48a-5fb6-4f54-9678-6639091f68e1,코오롱 구미공장 식당,cafeteria,36.1389,128.3867,300,"{""weekday"": ""11:00-20:00"", ""weekend"": ""11:00-14:00""}","{""has_vegetarian"": false, ""average_price"": 7500, ""cuisine_tags"": [""구내식당""], ""address"": ""경상북도 구미시 수출대로 48 (공단동)"", ""signature_menu"": ""한식백반 국밥 비빔밥 제육볶음 찌개정식 면류"", ""address_source"": ""web"", ""menu_source"": ""inferred""}"
a9f2cde9-c168-4477-b0a6-d5c2d816f72a,공단 짜장면집,cafeteria,36.1167,128.3478,55,"{""weekday"": ""11:00-20:00"", ""weekend"": ""11:00-14:00""}","{""has_vegetarian"": false, ""average_price"": 7500, ""cuisine_tags"": [""중식""], ""address"": ""경상북도 구미시 공단동"", ""signature_menu"": ""짜장면 짬뽕 탕수육 볶음밥 군만두 울면"", ""address_source"": ""inferred"", ""menu_source"": ""inferred""}"
0a0c0a25-a6bb-4d23-9546-d9ac649f2b1e,구미산단 돈까스집,cafeteria,36.1234,128.3556,65,"{""weekday"": ""11:00-20:00"", ""weekend"": ""11:00-14:00""}","{""has_vegetarian"": false, ""average_price"": 7500, ""cuisine_tags"": [""양식"", ""분식""], ""address"": ""경상북도 구미시 송정동"", ""signature_menu"": ""왕돈까스 치즈돈까스 생선까스 카레돈까스 라면 김밥"", ""address_source"": ""inferred"", ""menu_source"": ""inferred""}"
