id,name,type,latitude,longitude,capacity,operating_hours,features,max_capacity_people
null,오호오쭈꾸미 본점,restaurant,36.082919,128.353236,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""한식"", ""해물,생선""], ""address"": ""경상북도 구미시 박정희로 99-7"", ""phone"": ""0507-1486-0844"", ""signature_menu"": ""쭈꾸미볶음 쭈꾸미전 왕새우튀김 계란찜 물만두"", ""address_source"": ""web"", ""menu_source"": ""web""}",113
null,꾸버찌 상모점,bar,36.08541,128.355166,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""술집"", ""일본식주점""], ""address"": ""경상북도 구미시 상사서로 33-4 1층"", ""phone"": ""0507-1379-0925"", ""signature_menu"": ""모듬꼬치 닭껍질꼬치 닭다리살꼬치 염통꼬치 채소꼬치"", ""address_source"": ""web"", ""menu_source"": ""web""}",38
null,고향순대,restaurant,36.085978,128.355922,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""한식"", ""순대""], ""address"": ""경상북도 구미시 상사서로 40"", ""phone"": ""054-464-2544"", ""signature_menu"": ""순대국밥 모듬순대 모듬수육 수육세트 돼지국밥"", ""address_source"": ""web"", ""menu_source"": ""web""}",112
null,민자반다찌,restaurant,36.086388,128.361917,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""한식""], ""address"": ""경상북도 구미시 임은동"", ""signature_menu"": ""모듬꼬치 사시미 오뎅탕 닭꼬치 군만두 우동"", ""address_source"": ""inferred"", ""menu_source"": ""inferred""}",58
null,큰집막창 임은동점,restaurant,36.087015,128.364078,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""한식"", ""육류,고기"", ""곱창,막창""], ""address"": ""경상북도 구미시 임은동"", ""signature_menu"": ""돼지생막창 돼지삶은막창 소막창 훈제양념막창 오돌뼈 닭발"", ""address_source"": ""inferred"", ""menu_source"": ""web""}",112
null,오븐에꾸운닭 상모점,restaurant,36.087293,128.355705,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""치킨"", ""오븐에꾸운닭""], ""address"": ""경상북도 구미시 상모사곡동"", ""signature_menu"": ""로제퐁닭 맵콘로스트 까르보나라치킨 썬크런치 청양마요로스트 파파닭로스트 요거닭샐러드"", ""address_source"": ""inferred"", ""menu_source"": ""web""}",87
null,미리네밥상,restaurant,36.087561,128.366139,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""한식""], ""address"": ""경상북도 구미시 임은동"", ""signature_menu"": ""백반정식 제육볶음 된장찌개 생선구이 가정식상차림 보리밥"", ""address_source"": ""inferred"", ""menu_source"": ""inferred""}",116
null,가마로강정 구미상모점,restaurant,36.087731,128.35614,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""간식"", ""닭강정"", ""가마로강정""], ""address"": ""경상북도 구미시 상모사곡동"", ""signature_menu"": ""달콤강정 매콤강정 마늘간장강정 사천깐풍기 순살후라이드 트리플강정"", ""address_source"": ""inferred"", ""menu_source"": ""web""}",48
null,충칭훠궈마라탕 상모점,restaurant,36.087914,128.357669,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""중식"", ""중국요리""], ""address"": ""경상북도 구미시 상사서로4길 21"", ""phone"": ""054-462-1527"", ""signature_menu"": ""마라탕 마라샹궈 훠궈무한리필 꿔바로우 양꼬치무한리필"", ""address_source"": ""web"", ""menu_source"": ""web""}",57
null,삼겹당순대당 상모본점,restaurant,36.088031,128.350499,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""한식"", ""육류,고기""], ""address"": ""경상북도 구미시 상모사곡동"", ""signature_menu"": ""대패삼겹살 삼겹살 수육 모듬순대 순대국밥 머릿고기"", ""address_source"": ""inferred"", ""menu_source"": ""inferred""}",71
null,둥지보쌈 상모점,restaurant,36.088158,128.355036,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""한식"", ""육류,고기"", ""족발,보쌈""], ""address"": ""경상북도 구미시 상사서로 65 정성빌딩 2층"", ""phone"": ""054-465-4200"", ""signature_menu"": ""족보쌈세트 보쌈정식 족발 보쌈 막국수 쟁반국수"", ""address_source"": ""web"", ""menu_source"": ""web""}",66
null,화화돼지왕갈비 구미상모점,restaurant,36.088342,128.354994,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""한식"", ""육류,고기"", ""갈비"", ""화화돼지왕갈비""], ""address"": ""경상북도 구미시 상사서로5길 3"", ""phone"": ""0507-1365-8598"", ""signature_menu"": ""대왕갈비 매콤대왕갈비 양념소갈비살 생삼겹살 된장술밥 볶음밥"", ""address_source"": ""web"", ""menu_source"": ""web""}",92
null,28청춘숯불닭갈비 상모사곡점,restaurant,36.088523,128.355873,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""한식"", ""육류,고기"", ""닭요리""], ""address"": ""경상북도 구미시 상모로8길 13 1층"", ""phone"": ""0507-1403-2894"", ""signature_menu"": ""숯불닭갈비 소금닭갈비 양념닭갈비 닭목살구이 무뼈닭발 염통꼬치"", ""address_source"": ""web"", ""menu_source"": ""web""}",98
null,맥시칸치킨 임은점,restaurant,36.08881,128.369005,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""치킨"", ""맥시칸치킨""], ""address"": ""경상북도 구미시 임은길 58"", ""phone"": ""054-461-7888"", ""signature_menu"": ""후라이드치킨 양념치킨 간장치킨 매콤양념치킨 매콤스윗마요치킨 닭다리치킨"", ""address_source"": ""web"", ""menu_source"": ""web""}",112
null,히카리,restaurant,36.089033,128.355403,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""일식""], ""address"": ""경상북도 구미시 상모사곡동"", ""signature_menu"": ""사시미 초밥 우동 모듬튀김 사케 하이볼"", ""address_source"": ""inferred"", ""menu_source"": ""inferred""}",64
